Parameter,Short Name,CAN ID,DID,UDS Request Payload,Vehicle Model,Source
1_Niro_Cell Voltage 24,Cell 24,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 25,Cell 25,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 26,Cell 26,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 27,Cell 27,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 28,Cell 28,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 29,Cell 29,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 30,Cell 30,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 31,Cell 31,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 32,Cell 32,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 33,Cell 33,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 34,Cell 34,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 35,Cell 35,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 36,Cell 36,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 37,Cell 37,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 38,Cell 38,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 39,Cell 39,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 40,Cell 40,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 41,Cell 41,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 42,Cell 42,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 43,Cell 43,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 44,Cell 44,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 45,Cell 45,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 46,Cell 46,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 47,Cell 47,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 48,Cell 48,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 49,Cell 49,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 50,Cell 50,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 51,Cell 51,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 52,Cell 52,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 53,Cell 53,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 54,Cell 54,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 55,Cell 55,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 56,Cell 56,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 57,Cell 57,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 58,Cell 58,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 59,Cell 59,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 60,Cell 60,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 61,Cell 61,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 62,Cell 62,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 63,Cell 63,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 64,Cell 64,7E4,0x2103,03 22 21 03 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 65,Cell 65,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 66,Cell 66,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 67,Cell 67,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 68,Cell 68,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
